Name	SMILES
PEA	NCCc1ccccc1
PROPYNYL	NCCc1cc(OC)c(c(c1)OC)OCC#C
SB	NCCc1cc(OCC)c(c(c1)OCC)OC
TA	COc1cc(CC(N)C)c(c(c1OC)OC)OC
TA	CCCCCSc1c(OC)cc(cc1OC)CCN
3-TASB	NCCc1cc(SCC)c(c(c1)OC)OCC
4-TASB	NCCc1cc(OCC)c(c(c1)OC)SCC
5-TASB	NCCc1cc(OCC)c(c(c1)SC)OCC
TB	CCCCSc1c(OC)cc(cc1OC)CCN
3-TE	NCCc1cc(OC)c(c(c1)SC)OCC
TE	NCCc1cc(OC)c(c(c1)OC)SCC
2-TIM	NCCc1ccc(c(c1SC)OC)OC
3-TIM	NCCc1ccc(c(c1OC)SC)OC
4-TIM	NCCc1ccc(c(c1OC)OC)SC
3-TM	NCCc1cc(OC)c(c(c1)SC)OC
TM	NCCc1cc(OC)c(c(c1)OC)SC
TMA	COc1cc(CC(N)C)cc(c1OC)OC
TMA-2	COc1cc(OC)c(cc1CC(N)C)OC
TMA-3	COc1c(ccc(c1OC)OC)CC(N)C
TMA-4	COc1cc(CC(N)C)c(c(c1)OC)OC
TMA-5	COc1ccc(c(c1CC(N)C)OC)OC
TMA-6	COc1cc(OC)cc(c1CC(N)C)OC
3-TME	NCCc1cc(SCC)c(c(c1)OC)OC
4-TME	NCCc1cc(OCC)c(c(c1)OC)SC
5-TME	NCCc1cc(OCC)c(c(c1)SC)OC
2T-MMDA-3a	CSc1c(ccc2c1OCO2)CC(N)C
4T-MMDA-2	COc1cc2SCOc2cc1CC(N)C
TMPEA	NCCc1cc(OC)c(cc1OC)OC
2-TOET	COc1cc(CC(N)C)c(cc1CC)SC
5-TOET	COc1cc(CC)c(cc1CC(N)C)SC
2-TOM	COc1cc(CC(N)C)c(cc1C)SC
5-TOM	COc1cc(C)c(cc1CC(N)C)SC
TOMSO	COc1cc(C)c(cc1CC(N)C)S(=O)C
TP	CCCSc1c(OC)cc(cc1OC)CCN
TRIS	NCCc1cc(OCC)c(c(c1)OCC)OCC
3-TSB	NCCc1cc(OCC)c(c(c1)SCC)OC
4-TSB	NCCc1cc(OCC)c(c(c1)OCC)SC
3-T-TRIS	CCOc1cc(CCN)cc(c1OCC)SCC
4-T-TRIS	NCCc1cc(OCC)c(c(c1)OCC)SCC
AL-LAD	C=CCN1C[C@@H](C=C2[C@H]1Cc1c[nH]c3c1c2ccc3)C(=O)N(CC)CC
DBT	CCCCN(CCc1c[nH]c2c1cccc2)CCCC
DET	CCN(CCc1c[nH]c2c1cccc2)CC
DIPT	CC(N(C(C)C)CCc1c[nH]c2c1cccc2)C
a,0-DMS	COc1ccc2c(c1)c(c[nH]2)CC(N)C
DMT	CN(CCc1c[nH]c2c1cccc2)C
2,a-DMT	CC(Cc1c(C)[nH]c2c1cccc2)N
a,N-DMT	CNC(Cc1c[nH]c2c1cccc2)C
DPT	CCCN(CCc1c[nH]c2c1cccc2)CCC
EIPT	CCN(C(C)C)CCc1c[nH]c2c1cccc2
a-ET	CCC(Cc1c[nH]c2c1cccc2)N
ETH-LAD	CCN(C(=O)[C@H]1CN(CC)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
HARMALINE	COc1ccc2c(c1)[nH]c1c2CCN=C1C
LSD-25	CCN(C(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CC
PRO-LAD	CCCN1C[C@@H](C=C2[C@H]1Cc1c[nH]c3c1c2ccc3)C(=O)N(CC)CC
HARMINE	COc1ccc2c(c1)[nH]c1c2ccnc1C
4-HO-DBT	CCCCN(CCc1c[nH]c2c1c(O)ccc2)CCCC
MBT	CCCCN(CCc1c[nH]c2c1cccc2)C
4,5-MDO-DIPT	CC(N(C(C)C)CCc1c[nH]c2c1c1OCOc1cc2)C
IBOGAINE	CC[C@H]1C[C@H]2CN3[C@@H]1[C@@H](C2)c1[nH]c2c(c1CC3)cc(cc2)OC
4-HO-PYR-T	Oc1cccc2c1c(CCN1CCCC1)c[nH]2
4-HO-DMT	CN(CCc1c[nH]c2c1c(O)ccc2)C
5-HO-DMT	CN(CCc1c[nH]c2c1cc(O)cc2)C
4-HO-DIPT	CC(N(C(C)C)CCc1c[nH]c2c1c(O)ccc2)C
4-HO-DET	CCN(CCc1c[nH]c2c1c(O)ccc2)CC
PYR-T	C1CCN(C1)CCc1c[nH]c2c1cccc2
NMT	CNCCc1c[nH]c2c1cccc2
T	NCCc1c[nH]c2c1cccc2
NET	CCNCCc1c[nH]c2c1cccc2
4-HO-MPT	CCCN(CCc1c[nH]c2c1c(O)ccc2)C
4-HO-MIPT	CN(C(C)C)CCc1c[nH]c2c1c(O)ccc2
5,6-MDO-DIPT	CC(N(C(C)C)CCc1c[nH]c2c1cc1OCOc1c2)C
4,5-MDO-DMT	CN(CCc1c[nH]c2c1c1OCOc1cc2)C
5,6-MDO-DMT	CN(CCc1c[nH]c2c1cc1OCOc1c2)C
4-HO-DPT	CCCN(CCc1c[nH]c2c1c(O)ccc2)CCC
4-HO-MET	CCN(CCc1c[nH]c2c1c(O)ccc2)C
TETRAHYDROHARMINE	COc1ccc2c(c1)[nH]c1c2CCNC1C
a-MT	CC(Cc1c[nH]c2c1cccc2)N
a,N,0-TMS	CNC(Cc1c[nH]c2c1cc(OC)cc2)C
MIPT	CN(C(C)C)CCc1c[nH]c2c1cccc2
5,6-MDO-MIPT	CC(N(CCc1c[nH]c2c1cc1OCOc1c2)C)C
2-ME-DET	CCN(CCc1c(C)[nH]c2c1cccc2)CC
5-MES-DMT	CSc1ccc2c(c1)c(CCN(C)C)c[nH]2
5-MEO-TMT	COc1ccc2c(c1)c(CCN(C)C)c([nH]2)C
2-ME-DMT	CN(CCc1c(C)[nH]c2c1cccc2)C
6-MEO-THH	COc1ccc2c(c1)c1CCNC(c1[nH]2)C
MELATONIN	COc1ccc2c(c1)c(CCNC(=O)C)c[nH]2
5-MEO-DET	CCN(CCc1c[nH]c2c1cc(OC)cc2)CC
5-MEO-DIPT	COc1ccc2c(c1)c(CCN(C(C)C)C(C)C)c[nH]2
5-MEO-DMT	COc1ccc2c(c1)c(CCN(C)C)c[nH]2
4-MEO-MIPT	COc1cccc2c1c(CCN(C(C)C)C)c[nH]2
5-MEO-MIPT	COc1ccc2c(c1)c(CCN(C(C)C)C)c[nH]2
5,6-MEO-MIPT	COc1cc2c(CCN(C(C)C)C)c[nH]c2cc1OC
5-MEO-NMT	CNCCc1c[nH]c2c1cc(OC)cc2
5-MEO-PYR-T	COc1ccc2c(c1)c(CCN1CCCC1)c[nH]2
